Date,Open,High,Low,Close,Adj Close,Volume
2023-02-01,2.040000,2.119000,2.000000,2.080000,2.080000,55300
2023-02-02,2.190000,2.190000,2.020000,2.042000,2.042000,85300
2023-02-03,2.080000,2.190000,1.965000,2.050000,2.050000,88900
2023-02-06,2.050000,2.080000,2.020000,2.025000,2.025000,43600
2023-02-07,2.000000,2.060000,1.900000,1.960000,1.960000,38000
2023-02-08,2.040000,2.082000,1.860000,1.930000,1.930000,32700
2023-02-09,2.000000,2.023000,1.779000,1.830000,1.830000,39200
2023-02-10,1.820000,1.835000,1.700000,1.725000,1.725000,51200
2023-02-13,1.706000,1.720000,1.670000,1.680000,1.680000,13800
2023-02-14,1.860000,1.860000,1.580000,1.680000,1.680000,61500
2023-02-15,1.710000,1.750000,1.620000,1.670000,1.670000,96600
2023-02-16,1.650000,1.710000,1.630000,1.670000,1.670000,39500
2023-02-17,1.690000,1.710000,1.640000,1.690000,1.690000,73500
2023-02-21,1.660000,1.720000,1.560000,1.560000,1.560000,25400
2023-02-22,1.630000,1.655000,1.520000,1.540000,1.540000,12800
2023-02-23,1.540000,1.700000,1.540000,1.680000,1.680000,99100
2023-02-24,1.590000,1.650000,1.540000,1.640000,1.640000,17000
2023-02-27,1.620000,1.659000,1.460000,1.570000,1.570000,29400
2023-02-28,1.580000,1.580000,1.500000,1.530000,1.530000,22700
2023-03-01,1.530000,1.600000,1.450000,1.520000,1.520000,22900
2023-03-02,1.520000,1.520000,1.420000,1.470000,1.470000,23000
2023-03-03,1.571000,1.630000,1.480000,1.530000,1.530000,23700
2023-03-06,1.500000,1.550000,1.470000,1.540000,1.540000,9000
2023-03-07,1.520000,1.620000,1.480000,1.530000,1.530000,6700
2023-03-08,1.520000,1.600000,1.510000,1.510000,1.510000,18600
2023-03-09,1.580000,1.600000,1.450000,1.450000,1.450000,17900
2023-03-10,1.487000,1.550000,1.410000,1.545000,1.545000,17600
2023-03-13,1.510000,1.520000,1.230000,1.360000,1.360000,58000
2023-03-14,1.330000,1.422000,1.310000,1.340000,1.340000,13700
2023-03-15,1.320000,1.390000,1.230000,1.260000,1.260000,37800
2023-03-16,1.350000,1.350000,1.240000,1.260000,1.260000,11400
2023-03-17,1.250000,1.250000,1.180000,1.225000,1.225000,19500
2023-03-20,1.200000,1.235000,1.100000,1.110000,1.110000,37400
2023-03-21,1.120000,1.200000,1.120000,1.170000,1.170000,15400
2023-03-22,1.240000,1.300000,1.180000,1.240000,1.240000,15400
2023-03-23,1.240000,1.240000,1.141000,1.150000,1.150000,6500
2023-03-24,1.170000,1.245000,1.150000,1.245000,1.245000,8600
2023-03-27,1.250000,1.250000,1.220000,1.220000,1.220000,7400
2023-03-28,1.190000,1.245000,1.150000,1.210000,1.210000,7200
2023-03-29,1.170000,1.345000,1.170000,1.285000,1.285000,22100
2023-03-30,1.273000,1.300000,1.210000,1.220000,1.220000,19500
2023-03-31,1.250000,1.290000,1.220000,1.250000,1.250000,2600
2023-04-03,1.255000,1.285000,1.210000,1.210000,1.210000,11900
2023-04-04,1.210000,1.290000,1.140000,1.160000,1.160000,12400
2023-04-05,1.110000,1.195000,1.100000,1.145000,1.145000,14400
2023-04-06,1.050000,1.150000,1.050000,1.100000,1.100000,18400
2023-04-10,1.110000,1.180000,1.110000,1.180000,1.180000,4000
2023-04-11,1.100000,1.280000,1.100000,1.180000,1.180000,16500
2023-04-12,1.155000,1.190000,1.100000,1.100000,1.100000,10200
2023-04-13,1.180000,1.180000,1.110000,1.110000,1.110000,7300
2023-04-14,1.100000,1.140000,1.082000,1.100000,1.100000,3800
2023-04-17,1.040000,1.150000,1.040000,1.140000,1.140000,18800
2023-04-18,1.100000,1.221000,1.100000,1.180000,1.180000,12200
2023-04-19,1.190000,1.250000,1.110000,1.184000,1.184000,44100
2023-04-20,1.150000,1.151000,1.060000,1.084000,1.084000,21400
2023-04-21,1.091000,1.091000,1.030000,1.090000,1.090000,14400
2023-04-24,1.030000,1.090000,1.030000,1.042000,1.042000,8700
2023-04-25,1.040000,1.080000,0.950000,0.980000,0.980000,46400
2023-04-26,1.070000,1.240000,0.995000,1.220000,1.220000,378600
2023-04-27,1.250000,1.490000,1.120000,1.210000,1.210000,554000
2023-04-28,1.160000,1.390000,1.000000,1.300000,1.300000,341200
